#	CAMINHO NO XML	CAMPO	REGRAS DE NEGÓCIO PARA A NOTA FISCAL DE SERVIÇO ELETRÔNICA DO  SISTEMA NACIONAL NFS-e						NÍVEL DA REGRA	EMISSORES PÚBLICOS NACIONAIS NFS-e (SEFIN, WEB, APP)		ADN NFS-e		OBSERVAÇÕES DE NEGÓCIO
			Nível 1 - Regras de negócio para consistência do Leiaute NFS-e  Nível 2 - Regras de Negócio gerais para todos os municípios aderentes ao SN NFS-e  Nível 3 - Regras de Negócio específicas conforme legislação municipal do município parametrizada no SN NFS-e 							RNs EXECUTADAS NA RECEPÇÃO DE DPS EVIADAS PELOS EMITENTES (V), RNs EXECUTADAS NA GERAÇÃO DAS INFORMAÇÕES DE NFS-e PELOS EMISSORES PÚBLICOS NACIONAIS (V) E RNs NÃO EXECUTADAS (X)	NFS-e EMITIDA SOB CONDIÇÕES DE  DECISÃO JUDICIAL OU ADMINISTRATIVA (cStat = 102) RNs EXECUTADAS NA GERAÇÃO DE NFS-e PELOS EMISSORES PÚBLICOS NACIONAIS (SEFIN, WEB, APP) RNs EXECUTADAS (V) RNs NÃO EXECUTADAS (X)	RNs EXECUTADAS  NA RECEPÇÃO DE NFS-e COMPARTILHADAS  PELOS MUNICÍPIOS COM O  ADN NFS-e (V)  E RNs NÃO EXECUTADAS (X)	NFS-e EMITIDAS SOB CONDIÇÕES DE DECISÃO JUDICIAL OU ADMINISTRATIVA (cStat = 102) RNs EXECUTADAS  NA RECEPÇÃO DE NFS-e COMPARTILHADAS  PELOS MUNICÍPIOS COM O  ADN NFS-e (V) E RNs NÃO EXECUTADAS (X)	
			REGRAS DE NEGÓCIO		APLIC.	EFEITO	CÓD. ERRO	MSG. ERRO						
195	NFSe/infNFSe/DPS/infDPS/	interm	-		-	-		-	-	-	-	-	-	-
196	NFSe/infNFSe/DPS/infDPS/interm/	CNPJ	CNPJ informado na DPS é inválido (verificar DV).		Obrig.	Rej.	E0248	CNPJ do intermediário informado na DPS é inválido.	1	V	V	V	V	-
197			CNPJ do intermediário não existe no cadastro CNPJ na data de competência informada na DPS.		Obrig.	Rej.	E0250	CNPJ do intermediário não encontrado no cadastro CNPJ.	2	V	-	X	-	-
198			Para este CNPJ, se o emitente for o intermediário do serviço (tpEmit = 3), na data de competência informada na DPS o município emissor deve corresponder: 1) ao município do endereço registrado no cadastro CNPJ ou; 2) ao município do endereço registrado no cadastro nacional complementar NFS-e. (cLocEmi + CNPJ + IM informados na DPS para o prestador devem existir no CNC NFS-e);		Obrig.	Rej.	E0254	CNPJ do emitente intermediário não possui estabelecimento ou domicílio em um município correspondente ao município emissor, na data de competência informada na DPS, conforme cadastros CNPJ e CNC NFS-e.	2	V	X	X	X	-
199			CNPJ do intermediário é igual ao CNPJ do prestador. Para efeitos desta regra comparar a raíz dos CNPJ (8 primeiros dígitos).		Obrig.	Rej.	E0262	Na emissão da NFS-e não é permitido que o prestador do serviço seja igual ao intermediário do serviço. 	2	V	X	X	X	-
200			Se a DPS indicar retenção pelo intermediário (tpRetISSQN = 3), então o intermediário deve ser identificado por CNPJ ou CPF.		Obrig.	Rej.	E0264	CNPJ ou CPF do intermediário não foi informado, mas existe uma indicação para retenção do ISSQN na DPS no campo de tipo de "Retenção do ISSQN".	2	V	X	X	X	-
201	NFSe/infNFSe/DPS/infDPS/interm/	CPF								V	X	X	X	-
202			CPF informado na DPS é inválido (verificar DV).		Obrig.	Rej.	E0266	CPF do intermediário informado na DPS é inválido.	1	V	V	V	V	-
203			CPF intermediário inexistente no cadastro CPF na data de competência informada na DPS.		Obrig.	Rej.	E0268	CPF do intermediário não encontrado no cadastro CPF.	2	V	X	X	X	-
204			Para este CPF, se o emitente for o intermediário do serviço (tpEmit = 3), na data de competência informada na DPS o município emissor (cLocEmi) deve corresponder ao município do endereço registrado no cadastro nacional complementar NFS-e. (cLocEmi + CPF + IM informados na DPS para o prestador devem existir no CNC NFS-e);		Obrig.	Rej.	E0272	CPF do emitente intermediário não possui estabelecimento ou domicílio em um município correspondente ao município emissor, na data de competência informada na DPS, conforme cadastros CPF e CNC NFS-e.	2	V	X	X	X	-
205	NFSe/infNFSe/DPS/infDPS/interm/	NIF	 Se o campo tpEmit for ígual a 3, então NIF do intermediário não pode ser informado.		Obrig.	Rej.	E0280	O intermediário de serviço, quando emitente da DPS, não pode ser identificado pelo NIF.	2	V	X	X	X	-
206			Se o grupo de informações de endereço no exterior do intermediário de serviços foi informado então o NIF ou cNaoNIF do intermediário deve ser informado.		Obrig.	Rej.	E0281	O NIF ou cNaoNIF do intermediário deve ser informado quando o grupo de informações de endereço no exterior do intermediário de serviços foi informado.	2	V	X	V	X	-
207	NFSe/infNFSe/DPS/infDPS/interm/	cNaoNIF				Rej.								
208			Se o campo tpEmit for ígual a 3, então cNaoNIF do intermediário não pode ser informado.		Obrig.	Rej.	E0284	O intermediário de serviço, quando emitente da DPS, somente pode ser identificado pelo CNPJ ou CPF.	2	V	X	X	X	-
