#	CAMINHO NO XML	CAMPO	REGRAS DE NEGÓCIO PARA A NOTA FISCAL DE SERVIÇO ELETRÔNICA DO  SISTEMA NACIONAL NFS-e						NÍVEL DA REGRA	EMISSORES PÚBLICOS NACIONAIS NFS-e (SEFIN, WEB, APP)		ADN NFS-e		OBSERVAÇÕES DE NEGÓCIO
			Nível 1 - Regras de negócio para consistência do Leiaute NFS-e  Nível 2 - Regras de Negócio gerais para todos os municípios aderentes ao SN NFS-e  Nível 3 - Regras de Negócio específicas conforme legislação municipal do município parametrizada no SN NFS-e 							RNs EXECUTADAS NA RECEPÇÃO DE DPS EVIADAS PELOS EMITENTES (V), RNs EXECUTADAS NA GERAÇÃO DAS INFORMAÇÕES DE NFS-e PELOS EMISSORES PÚBLICOS NACIONAIS (V) E RNs NÃO EXECUTADAS (X)	NFS-e EMITIDA SOB CONDIÇÕES DE  DECISÃO JUDICIAL OU ADMINISTRATIVA (cStat = 102) RNs EXECUTADAS NA GERAÇÃO DE NFS-e PELOS EMISSORES PÚBLICOS NACIONAIS (SEFIN, WEB, APP) RNs EXECUTADAS (V) RNs NÃO EXECUTADAS (X)	RNs EXECUTADAS  NA RECEPÇÃO DE NFS-e COMPARTILHADAS  PELOS MUNICÍPIOS COM O  ADN NFS-e (V)  E RNs NÃO EXECUTADAS (X)	NFS-e EMITIDAS SOB CONDIÇÕES DE DECISÃO JUDICIAL OU ADMINISTRATIVA (cStat = 102) RNs EXECUTADAS  NA RECEPÇÃO DE NFS-e COMPARTILHADAS  PELOS MUNICÍPIOS COM O  ADN NFS-e (V) E RNs NÃO EXECUTADAS (X)	
			REGRAS DE NEGÓCIO		APLIC.	EFEITO	CÓD. ERRO	MSG. ERRO						
108	NFSe/infNFSe/DPS/infDPS/	prest	-		-	-	-	-	-	V	-	-	-	-
109	NFSe/infNFSe/DPS/infDPS/prest/	CNPJ	CNPJ informado na DPS é inválido (verificar DV).		Obrig.	Rej.	E0080	CNPJ do prestador informado na DPS é inválido.	1	V	V	V	V	-
110			CNPJ do prestador não existe no cadastro CNPJ na data de competência informada na DPS.		Obrig.	Rej.	E0082	CNPJ do emitente prestador não encontrado no cadastro CNPJ na data de competência.	2	V	X	X	X	-
111			Para este CNPJ, se o emitente for o prestador de serviço (tpEmit = 1), na data de competência informada na DPS, o município emissor deve corresponder: 1) ao município do endereço registrado no cadastro CNPJ, se a situação padrão para emissão dos contribuintes, com endereço no município, do cadastro CNPJ da RFB for habilitada ou; 2) ao município do endereço registrado no cadastro nacional complementar NFS-e. (cLocEmi + CNPJ + IM informados na DPS para o prestador devem existir no CNC NFS-e);		Obrig.	Rej.	E0084	CNPJ do emitente prestador não possui estabelecimento ou domicílio em um município correspondente ao município emissor, na data de competência informada na DPS, conforme cadastros CNPJ e CNC NFS-e.	2	V	X	X	X	-
112	NFSe/infNFSe/DPS/infDPS/prest/	CPF	CPF informado na DPS é inválido (verificar DV).		Obrig.	Rej.	E0096	CPF do prestador informado na DPS é inválido.	1	V	V	V	V	-
113			CPF do prestador não existe no cadastro CPF na data de competência informada na DPS.		Obrig.	Rej.	E0098	CPF do emitente prestador não encontrado no cadastro CPF na data de competência.	2	V	X	X	X	-
114			Para este CPF, se o emitente for o prestador de serviço (tpEmit = 1), na data de competência informada na DPS, o município emissor deve corresponder ao município do endereço registrado no cadastro nacional complementar NFS-e. (cLocEmi + CPF + IM informados na DPS para o prestador devem existir no CNC NFS-e);		Obrig.	Rej.	E0099	CPF do emitente prestador não possui estabelecimento ou domicílio em um município correspondente ao município emissor, na data de competência informada na DPS, conforme  cadastro nacional complementar NFS-e (cLocEmi + CPF + IM informados na DPS para o prestador devem existir no CNC NFS-e).	2	V	X	X	X	-
115	NFSe/infNFSe/DPS/infDPS/prest/	NIF	Se o campo tpEmit for ígual a 1, então NIF do prestador não pode ser informado.		Obrig.	Rej.	E0112	O prestador de serviço, quando emitente da DPS, não pode ser identificado pelo NIF.	1	V	X	V	X	-
116			Se o grupo de informações de endereço no exterior do prestador de serviços foi informado então o NIF ou cNaoNIF do prestador deve ser informado.		Obrig.	Rej.	E0113	O NIF ou cNaoNIF do prestador deve ser informado quando o grupo de informações de endereço no exterior do prestador de serviços foi informado.	1	V	X	V	X	-
117	NFSe/infNFSe/DPS/infDPS/prest/	cNaoNIF				Rej.								
118			Se o campo tpEmit for ígual a 1, então cNaoNIF do prestador não pode ser informado.		Obrig.	Rej.	E0114	O prestador de serviço, quando emitente da DPS, somente pode ser identificado pelo CNPJ ou CPF.	1	V	X	V	X	-
119			Se o valor do campo cNaoNIF do prestador, informado na DPS, for 0, então a DPS deve ser rejeitada.		Obrig.	Rej.	E0115	Valor 0 para o motivo da não informação do NIF do prestador não é permitido na Sefin do Sistema Nacional NFS-e.	1	V	X	V	X	-
120	NFSe/infNFSe/DPS/infDPS/prest/	CAEPF	-		-	-	-	-	-	-	-	-	-	-
