#	CAMINHO NO XML	CAMPO	REGRAS DE NEGÓCIO PARA A NOTA FISCAL DE SERVIÇO ELETRÔNICA DO  SISTEMA NACIONAL NFS-e						NÍVEL DA REGRA	EMISSORES PÚBLICOS NACIONAIS NFS-e (SEFIN, WEB, APP)		ADN NFS-e		OBSERVAÇÕES DE NEGÓCIO
			Nível 1 - Regras de negócio para consistência do Leiaute NFS-e  Nível 2 - Regras de Negócio gerais para todos os municípios aderentes ao SN NFS-e  Nível 3 - Regras de Negócio específicas conforme legislação municipal do município parametrizada no SN NFS-e 							RNs EXECUTADAS NA RECEPÇÃO DE DPS EVIADAS PELOS EMITENTES (V), RNs EXECUTADAS NA GERAÇÃO DAS INFORMAÇÕES DE NFS-e PELOS EMISSORES PÚBLICOS NACIONAIS (V) E RNs NÃO EXECUTADAS (X)	NFS-e EMITIDA SOB CONDIÇÕES DE  DECISÃO JUDICIAL OU ADMINISTRATIVA (cStat = 102) RNs EXECUTADAS NA GERAÇÃO DE NFS-e PELOS EMISSORES PÚBLICOS NACIONAIS (SEFIN, WEB, APP) RNs EXECUTADAS (V) RNs NÃO EXECUTADAS (X)	RNs EXECUTADAS  NA RECEPÇÃO DE NFS-e COMPARTILHADAS  PELOS MUNICÍPIOS COM O  ADN NFS-e (V)  E RNs NÃO EXECUTADAS (X)	NFS-e EMITIDAS SOB CONDIÇÕES DE DECISÃO JUDICIAL OU ADMINISTRATIVA (cStat = 102) RNs EXECUTADAS  NA RECEPÇÃO DE NFS-e COMPARTILHADAS  PELOS MUNICÍPIOS COM O  ADN NFS-e (V) E RNs NÃO EXECUTADAS (X)	
			REGRAS DE NEGÓCIO		APLIC.	EFEITO	CÓD. ERRO	MSG. ERRO						
60	NFSe/infNFSe/	DPS	-		-	-	-	-	-	-	-	-	-	-
61	NFSe/infNFSe/DPS/	versao	Prazo de aceitação da versão do leiaute DPS ultrapassado.		Obrig.	Rej.	E0001	O prazo de aceitação da versão do leiaute da DPS expirou.	1	V	V	V	V	-
62	NFSe/infNFSe/DPS/	infDPS	-		-	-	-	-	-	-	-	-	-	-
63	NFSe/infNFSe/DPS/infDPS/	id	O identificador da DPS é formado conforme a concatenação dos seguintes campos: "DPS" + Cód.Mun.Emi. + Tipo de Inscrição Federal + Inscrição Federal + Série DPS + Núm. DPS  Campo identificador da DPS inválido. Identificador da DPS difere da concatenação dos campos correspondentes. "DPS" + Cód.Mun.Emi. + Tipo de Inscrição Federal + Inscrição Federal + Série DPS + Núm. DPS   Verificar se tipo de inscrição e inscrição, informados no identificador da DPS, estão corretamente correspondidos conforme o seguinte:  Tipo de inscrição Federal = 1 / Inscrição Federal = CPF emitente da DPS; Tipo de inscrição Federal = 2 / Inscrição Federal = CNPJ emitente da DPS;  Cód.Mun.Emi. é o código do município do endereço do emitente da DPS.		Obrig.	Rej.	E0004	Conteúdo do identificador informado na DPS difere da concatenação dos campos correspondentes.	1	V	V	V	V	-
64	NFSe/infNFSe/DPS/infDPS/	tpAmb	Ambiente informado diverge do ambiente de recebimento para o qual o emitente enviou a DPS.		Obrig.	Rej.	E0006	Ambiente informado diverge do ambiente de recebimento para o qual o emitente enviou a DPS.	1	V	V	V	V	-
65	NFSe/infNFSe/DPS/infDPS/	dhEmi	A data de emissão da DPS deve ser anterior ou igual à data e hora do seu processamento (dhProc) pelo Sistema Nacional NFS-e.		Obrig.	Rej.	E0008	A data e hora de emissão da DPS deve ser anterior ou igual à data do seu processamento (dhProc) pelo Sistema Nacional NFS-e.	1	V	V	V	V	-
66			A data de compartilhamento do DF-e não pode ser posterior à há mais de 6 anos de sua emissão.		Obrig.	Rej.	E1294	Prazo para entrega da DF-e excedido.	1	X	X	V	X	-
67	NFSe/infNFSe/DPS/infDPS/	verAplic	-		-	-	-	-	-	-	-	-	-	-
68	NFSe/infNFSe/DPS/infDPS/	serie	A série informada na DPS não pertence à faixa definida para o tipo de emissor utilizado para a sua emissão.		Obrig.	Rej.	E0010	A série informada na DPS não pertence à faixa definida para o tipo de emissor utilizado para a sua emissão.	1	V	V	X	X	Faixas de utilização da série da DPS:  00001 a 49999 - Emissão com aplicativo pŕoprio; 50000 a 69999 - Emissor Móvel; 70000 a 79999 - Emissor Web; 80000 a 89999 - Emissão com *transcrissão manual (Web);  *O emitente deve informar o número de série (transcrever o número de série) que foi repassado ao não emitente da NFS-e.
