#	CAMINHO NO XML	CAMPO	REGRAS DE NEGÓCIO PARA A NOTA FISCAL DE SERVIÇO ELETRÔNICA DO  SISTEMA NACIONAL NFS-e						NÍVEL DA REGRA	EMISSORES PÚBLICOS NACIONAIS NFS-e (SEFIN, WEB, APP)		ADN NFS-e		OBSERVAÇÕES DE NEGÓCIO
			Nível 1 - Regras de negócio para consistência do Leiaute NFS-e  Nível 2 - Regras de Negócio gerais para todos os municípios aderentes ao SN NFS-e  Nível 3 - Regras de Negócio específicas conforme legislação municipal do município parametrizada no SN NFS-e 							RNs EXECUTADAS NA RECEPÇÃO DE DPS EVIADAS PELOS EMITENTES (V), RNs EXECUTADAS NA GERAÇÃO DAS INFORMAÇÕES DE NFS-e PELOS EMISSORES PÚBLICOS NACIONAIS (V) E RNs NÃO EXECUTADAS (X)	NFS-e EMITIDA SOB CONDIÇÕES DE  DECISÃO JUDICIAL OU ADMINISTRATIVA (cStat = 102) RNs EXECUTADAS NA GERAÇÃO DE NFS-e PELOS EMISSORES PÚBLICOS NACIONAIS (SEFIN, WEB, APP) RNs EXECUTADAS (V) RNs NÃO EXECUTADAS (X)	RNs EXECUTADAS  NA RECEPÇÃO DE NFS-e COMPARTILHADAS  PELOS MUNICÍPIOS COM O  ADN NFS-e (V)  E RNs NÃO EXECUTADAS (X)	NFS-e EMITIDAS SOB CONDIÇÕES DE DECISÃO JUDICIAL OU ADMINISTRATIVA (cStat = 102) RNs EXECUTADAS  NA RECEPÇÃO DE NFS-e COMPARTILHADAS  PELOS MUNICÍPIOS COM O  ADN NFS-e (V) E RNs NÃO EXECUTADAS (X)	
			REGRAS DE NEGÓCIO		APLIC.	EFEITO	CÓD. ERRO	MSG. ERRO						
157	NFSe/infNFSe/DPS/infDPS/	toma	-		-	-	-	-	-	-	-	-	-	-
158	NFSe/infNFSe/DPS/infDPS/toma/	CNPJ	CNPJ informado na DPS é inválido (verificar DV).		Obrig.	Rej.	E0188	CNPJ do tomador informado na DPS é inválido.	1	V	V	V	V	-
159			CNPJ do tomador não existe no cadastro CNPJ na data de competência informada na DPS.		Obrig.	Rej.	E0190	CNPJ do tomador não encontrado no cadastro CNPJ.	2	V	X	X	X	-
160			Para este CNPJ, se o emitente for o tomador de serviço (tpEmit = 2), na data de competência informada na DPS o município emissor deve corresponder: 1) ao município do endereço registrado no cadastro CNPJ ou; 2) ao município do endereço registrado no cadastro nacional complementar NFS-e. (cLocEmi + CNPJ + IM informados na DPS para o prestador devem existir no CNC NFS-e);		Obrig.	Rej.	E0194	CNPJ do emitente tomador não possui estabelecimento ou domicílio em um município correspondente ao município emissor, na data de competência informada na DPS, conforme cadastros CNPJ e CNC NFS-e.	2	V	X	X	X	Regra executada somente quando o emitente da DPS for o tomador ou intermediário do serviço (tpEmit = 2 ou 3).
161			CNPJ do tomador é igual ao CNPJ do prestador. Para efeitos desta regra comparar a raíz dos CNPJ (8 primeiros dígitos). Obs: Considera-se a raiz do CNPJ, incluindo todos os estabelecimentos.		Obrig.	Rej.	E0202	Na emissão da NFS-e não é permitido que o prestador do serviço seja igual ao tomador do serviço. 	2	V	X	X	X	-
162			Se a DPS indicar retenção pelo tomador (tpRetISSQN = 2), então o tomador deve ser identificado por CNPJ ou CPF.		Obrig.	Rej.	E0204	CNPJ ou CPF do tomador não foi informado, mas existe uma indicação para retenção do ISSQN na DPS no campo de tipo de "Retenção do ISSQN".	2	V	X	V	X	-
163	NFSe/infNFSe/DPS/infDPS/toma/	CPF												
164			CPF informado na DPS é inválido (verificar DV).		Obrig.	Rej.	E0206	CPF do tomador informado na DPS é inválido.	1	V	V	V	V	-
165			CPF do tomador inexistente no cadastro CPF na data de competência informada na DPS.		Obrig.	Rej.	E0207	CPF do tomador não encontrado no cadastro CPF.	2	V	X	X	X	-
166			Para este CPF, se o emitente for o tomador de serviço (tpEmit = 2), na data de competência informada na DPS o município emissor deve corresponder ao município do endereço registrado no cadastro nacional complementar NFS-e. (cLocEmi + CPF + IM informados na DPS para o prestador devem existir no CNC NFS-e);		Obrig.	Rej.	E0212	CPF do emitente tomador não possui estabelecimento ou domicílio em um município correspondente ao município emissor, na data de competência informada na DPS, conforme cadastros CPF e CNC NFS-e.	2	V	X	X	X	-
167	NFSe/infNFSe/DPS/infDPS/toma/	NIF	Se o campo tpEmit for ígual a 2, então NIF do tomador não pode ser informado.		Obrig.	Rej.	E0222	O tomador de serviço, quando emitente da DPS, não pode ser identificado pelo NIF.	2	V	X	X	X	-
168			Se o grupo de informações de endereço no exterior do tomador de serviços foi informado então o NIF ou cNaoNIF do tomador deve ser informado.		Obrig.	Rej.	E0223	O NIF ou cNaoNIF do tomador deve ser informado quando o grupo de informações de endereço no exterior do tomador de serviços foi informado.	2	V	X	V	X	-
169	NFSe/infNFSe/DPS/infDPS/toma/	cNaoNIF				Rej.								
170			Se o campo tpEmit for ígual a 2, então cNaoNIF do tomador não pode ser informado.		Obrig.	Rej.	E0224	O tomador de serviço, quando emitente da DPS, somente pode ser identificado pelo CNPJ ou CPF.	2	V	X	X	X	-
171			Se o valor do campo cNaoNIF do tomador, informado na DPS, for 0, então a DPS deve ser rejeitada.		Obrig.	Rej.	E0226	Valor 0 para o motivo da não informação do NIF do tomador não é permitido na Sefin do Sistema Nacional NFS-e.	2	V	X	X	X	-
172	NFSe/infNFSe/DPS/infDPS/toma/	CAEPF	-		-	-	-	-	-	-	-	-		-
