#	CAMINHO NO XML	CAMPO	REGRAS DE NEGÓCIO PARA A NOTA FISCAL DE SERVIÇO ELETRÔNICA DO  SISTEMA NACIONAL NFS-e						NÍVEL DA REGRA	EMISSORES PÚBLICOS NACIONAIS NFS-e (SEFIN, WEB, APP)		ADN NFS-e		OBSERVAÇÕES DE NEGÓCIO
			Nível 1 - Regras de negócio para consistência do Leiaute NFS-e  Nível 2 - Regras de Negócio gerais para todos os municípios aderentes ao SN NFS-e  Nível 3 - Regras de Negócio específicas conforme legislação municipal do município parametrizada no SN NFS-e 							RNs EXECUTADAS NA RECEPÇÃO DE DPS EVIADAS PELOS EMITENTES (V), RNs EXECUTADAS NA GERAÇÃO DAS INFORMAÇÕES DE NFS-e PELOS EMISSORES PÚBLICOS NACIONAIS (V) E RNs NÃO EXECUTADAS (X)	NFS-e EMITIDA SOB CONDIÇÕES DE  DECISÃO JUDICIAL OU ADMINISTRATIVA (cStat = 102) RNs EXECUTADAS NA GERAÇÃO DE NFS-e PELOS EMISSORES PÚBLICOS NACIONAIS (SEFIN, WEB, APP) RNs EXECUTADAS (V) RNs NÃO EXECUTADAS (X)	RNs EXECUTADAS  NA RECEPÇÃO DE NFS-e COMPARTILHADAS  PELOS MUNICÍPIOS COM O  ADN NFS-e (V)  E RNs NÃO EXECUTADAS (X)	NFS-e EMITIDAS SOB CONDIÇÕES DE DECISÃO JUDICIAL OU ADMINISTRATIVA (cStat = 102) RNs EXECUTADAS  NA RECEPÇÃO DE NFS-e COMPARTILHADAS  PELOS MUNICÍPIOS COM O  ADN NFS-e (V) E RNs NÃO EXECUTADAS (X)	
			REGRAS DE NEGÓCIO		APLIC.	EFEITO	CÓD. ERRO	MSG. ERRO						
298	NFSe/infNFSe/DPS/infDPS/	valores	-		-	-		-	-	-	-	-	-	-
299	NFSe/infNFSe/DPS/infDPS/valores/	vServPrest	-		-	-		-	-	-	-	-	-	-
300	NFSe/infNFSe/DPS/infDPS/valores/vServPrest/	vReceb	O valor recebido deve ser informado na DPS quando o intermediário do serviço for o emitente da DPS (tpEmit = 3).		Obrig.	Rej.	E0423	O valor recebido deve ser informado na DPS quando o intermediário do serviço for o emitente da DPS.	1	V	X	V	X	-
301			O valor recebido não deve ser informado na DPS quando o prestador ou tomador do serviço for o emitente da DPS  (tpEmit = 1 ou tpEmit = 2).		Obrig.	Rej.	E0424	O valor recebido não deve ser informado na DPS quando o prestador ou tomador do serviço for o emitente da DPS.	1	V	X	V	X	-
302			O valor recebido não pode ser menor que o valor do serviço informado na DPS.		Obrig.	Rej.	E0425	O valor recebido não pode ser menor que o valor do serviço informado na DPS.	1	V	X	V	X	-
303	NFSe/infNFSe/DPS/infDPS/valores/vServPrest/	vServ	vDR é: um valor informado pelo emitente para dedução/redução da BC do ISSQN;  vCalcDR é: o cálculo do valor de dedução/redução da BC do ISSQN:  1) Quando o valor de dedução/redução for apurado a partir de um percentual informado na DPS, calcular este percentual sobre o valor do serviço já abatido o valor do desconto incondicionado. Ex:  Valor de dedução/redução = (Valor do serviço - valor desconto incodicional) x  % de dedução/redução.  VServ >= desconto incondicionado + Valor de dedução/redução  2) Quando um ou mais documentos são informados pelo emitente na DPS para dedução/redução da BC do ISSQN.  Neste caso o resultado do somatório é o valor deste campo do leiaute NFS-e;  ---------------------------  vInfoBM é: um valor informado pelo emitente para reduzir a BC do ISSQN;  VCalcBM é: o cálculo do valor de redução da BC do ISSQN a partir de benefício municipal:  1) Quando o valor do benefício municipal for apurado a partir de um percentual parametrizado para redução da base de cálculo, aplicar o percentual parametrizado sobre o valor do serviço já abatidos os valores do desconto incondicionado e dedução/redução.  Ex:  Valor de benefício municipal = (Valor do serviço - valor desconto incodicional - valor de dedução/redução) x % de benefício municipal.  VServ >= desconto incondicionado + Valor de dedução/redução + valor de benefício municipal.  2) Quando um valor monetário de benefício municipal é informado pelo emitente na DPS para redução da BC do ISSQN.	O valor do serviço deve ser maior ou igual ao somatório dos valores informados para Desconto Incondicionado, Deduções/Reduções e Benefício Municipal.  Valor do Serviço >= Desconto Incondicionado + Deduções/Reduções + Benefício Municipal  vServ >= descIncond + (vDR ou vCalcDR) + (vRedBCBM ou VCalcBM)	Obrig.	Rej.	E0427	O valor do serviço deve ser maior ou igual ao somatório dos valores informados para Desconto Incondicionado, Deduções/Reduções e Benefício Municipal.	2	V	X	V	X	-
304				O valor do serviço deve ser maior ou igual ao somatório dos valores informados para Desconto Incondicionado, Desconto Condicionado, Deduções/Reduções, Benefício Municipal, valores de tributos devidos (CP, IRRF, CSLL), e valores dos tributos se retidos (PIS, COFINS, ISSQN).  Valor do serviço >= Desconto condicionado + Desconto incondicionado + (CP, IRRF, CSLL)* + Valores, se retidos (ISSQN, PIS, COFINS)**  vServ >= vDescIncond + vDescCond + (vRetCP + vRetIRRF + vRetCSLL)* + Se Retidos (vISSQN + vPIS + vCOFINS)**  *Para o resultado do Valor Líquido o CP, IRRF e CSLL serão sempre subtraídos, se constarem na DPS, pois sempre são retidos.  **Para o resultado do Valor Líquido o ISSQN, PIS e COFINS somente serão subtraídos quando forem retidos.	Obrig.	Rej.	E0428	O valor do serviço deve ser maior ou igual ao somatório dos valores informados para Desconto Incondicionado, Desconto Condicionado, Deduções/Reduções, Benefício Municipal, valores de tributos devidos (CP, IRRF, CSLL), e valores dos tributos se retidos (PIS, COFINS, ISSQN).	2	V	X	V	X	-
305				O ISSQN não pode ser objeto de redução de base de cálculo que resulte em carga tributária menor que a decorrente da aplicação da alíquota mínima de 2,0% do valor do serviço, exceto para os serviços a que se referem os subitens 7.02, 7.05 e 16.01 da lista anexa a LC 116/03.  O valor da base de cálculo do ISSQN da NFS-e é encontrada a partir de valores que constam na DPS através do seguinte cálculo:  Valor da Base de Cálculo do ISSQN = Valor do Serviço - Desconto Incondicionado - Deduções/Reduções - Benefício Municipal  vBC = vServ - descIncond - (vDR ou vCalcDR) - (vInfoBM ou VCalcBM)	Obrig.	Rej.	E0429	O ISSQN não pode ser objeto de redução de base de cálculo que resulte em carga tributária menor que a decorrente da aplicação da alíquota mínima de 2,0% do valor do serviço, exceto para os serviços a que se referem os subitens 7.02, 7.05 e 16.01 da lista anexa a LC 116/03."	2	V	X	V	X	-
306	NFSe/infNFSe/DPS/infDPS/valores/	vDescCondIncond	-		-	-	-	-	-	-	-	-	-	-
