#	CAMINHO NO XML	CAMPO	REGRAS DE NEGÓCIO PARA A NOTA FISCAL DE SERVIÇO ELETRÔNICA DO  SISTEMA NACIONAL NFS-e						NÍVEL DA REGRA	EMISSORES PÚBLICOS NACIONAIS NFS-e (SEFIN, WEB, APP)		ADN NFS-e		OBSERVAÇÕES DE NEGÓCIO
			Nível 1 - Regras de negócio para consistência do Leiaute NFS-e  Nível 2 - Regras de Negócio gerais para todos os municípios aderentes ao SN NFS-e  Nível 3 - Regras de Negócio específicas conforme legislação municipal do município parametrizada no SN NFS-e 							RNs EXECUTADAS NA RECEPÇÃO DE DPS EVIADAS PELOS EMITENTES (V), RNs EXECUTADAS NA GERAÇÃO DAS INFORMAÇÕES DE NFS-e PELOS EMISSORES PÚBLICOS NACIONAIS (V) E RNs NÃO EXECUTADAS (X)	NFS-e EMITIDA SOB CONDIÇÕES DE  DECISÃO JUDICIAL OU ADMINISTRATIVA (cStat = 102) RNs EXECUTADAS NA GERAÇÃO DE NFS-e PELOS EMISSORES PÚBLICOS NACIONAIS (SEFIN, WEB, APP) RNs EXECUTADAS (V) RNs NÃO EXECUTADAS (X)	RNs EXECUTADAS  NA RECEPÇÃO DE NFS-e COMPARTILHADAS  PELOS MUNICÍPIOS COM O  ADN NFS-e (V)  E RNs NÃO EXECUTADAS (X)	NFS-e EMITIDAS SOB CONDIÇÕES DE DECISÃO JUDICIAL OU ADMINISTRATIVA (cStat = 102) RNs EXECUTADAS  NA RECEPÇÃO DE NFS-e COMPARTILHADAS  PELOS MUNICÍPIOS COM O  ADN NFS-e (V) E RNs NÃO EXECUTADAS (X)	
			REGRAS DE NEGÓCIO		APLIC.	EFEITO	CÓD. ERRO	MSG. ERRO						
1	-	NFS-e	-		-	-	-	-	-	-	-	-	-	-
2	NFSe/	versao	Prazo de aceitação da versão do leiaute NFS-e ultrapassado.		Obrig.	Rej.	E1260	O prazo de aceitação da versão do leiaute da NFS-e expirou.	1	V	V	V	V	-
3	NFSe/	infNFSe	-		-	-	-	-	-	-	-	-	-	-
4	NFSe/infNFSe/	id	O identificador da NFS-e é formado conforme a concatenação dos seguintes campos: "NFS" + Cód.Mun. (7) + Amb.Ger. (1) + Tipo de Inscrição Federal (1) + Inscrição Federal (14 - CPF completar com 000 à esquerda) + nNFSe (13) + AnoMes Emis. (4) + Cód.Num. (9) + DV (1)  Verificar se tipo de inscrição e inscrição, informados no identificador da NFS-e, estão corretamente correspondidos conforme o seguinte:  Tipo de inscrição Federal = 1 / Inscrição Federal = CPF emitente da NFS-e; Tipo de inscrição Federal = 2 / Inscrição Federal = CNPJ emitente da NFS-e;  Cód.Mun.Emi. é o código do município do endereço do emitente da NFS-e."		Obrig.	Rej.	E1263	Conteúdo informado no identificador da NFS-e difere da concatenação dos campos correspondentes que formam o identificador.	1	V	V	V	V	-
5			Chave a acesso da NFS-e enviada já existe no ADN.		Obrig.	Rej.	E1268	Chave de acesso informada para a NFS-e já foi compartilhada com o ADN.	1	V	V	V	V	-
6	NFSe/infNFSe/	xLocEmi	-		-	-	-	-	-	-	-	-	-	-
7	NFSe/infNFSe/	xLocPrestacao	-		-	-	-	-	-	-	-	-	-	-
8	NFSe/infNFSe/	nNFSe	-		-	-	-	-	-	-	-	-	-	-
9	NFSe/infNFSe/	cLocIncid	Não é permitido informar o código do local de incidência quando o serviço prestado for imune, exportação de serviço ou não incidência do ISSQN sobre o serviço prestado, ou seja, o campo referente à tributação do ISSQN (tribISSQN) é igual a "2 - Imunidade, "3 - Exportação de Serviço" ou "4 - Não Incidência", (tribISSQN = 2, 3 ou 4).		Obrig.	Rej.	E1301	Não é permitido informar o código do local de incidência quando o campo referente à tributação do ISSQN indicar imunidade, exportação ou não incidência.	1	V	X	V	X	-
